Player,National Team,National Team Country,Group,Position,Club Name,Club Town,Club Country,Raw Club Name,Same Country
Essam El Hadary,Egypt,Egypt,A,Goalkeeper,Al-Taawoun,Buraydah,Saudi Arabia,Al Taawoun,N
Mohamed El-Shennawy,Egypt,Egypt,A,Goalkeeper,Al-Ahly,Cairo,Egypt,Al Ahly,Y
Sherif Ekramy,Egypt,Egypt,A,Goalkeeper,Al-Ahly,Cairo,Egypt,Al Ahly,Y
Ahmed Fathi,Egypt,Egypt,A,Defender,Al-Ahly,Cairo,Egypt,Al Ahly,Y
Saad Samir,Egypt,Egypt,A,Defender,Al-Ahly,Cairo,Egypt,Al Ahly,Y
Ayman Ashraf,Egypt,Egypt,A,Defender,Al-Ahly,Cairo,Egypt,Al Ahly,Y
Mahmoud Hamdy,Egypt,Egypt,A,Defender,Zamalek,Giza,Egypt,Zamalek,Y
Mohamed Abdel-Shafy,Egypt,Egypt,A,Defender,Al-Fateh,Al-Ahsa,Saudi Arabia,Al Fateh,N
Ahmed Hegazi,Egypt,Egypt,A,Defender,West Brom,West Bromwich,UK,West Brom,N
Ali Gabr,Egypt,Egypt,A,Defender,Zamalek,Giza,Egypt,Zamalek,Y
Ahmed Elmohamady,Egypt,Egypt,A,Defender,Aston Villa,Birmingham,UK,Aston Villa,N
Omar Gaber,Egypt,Egypt,A,Defender,Los Angeles FC,Los Angeles,USA,Los Angeles FC,N
Tarek Hamed,Egypt,Egypt,A,Midfielder,Zamalek,Giza,Egypt,Zamalek,Y
Abdallah Said,Egypt,Egypt,A,Midfielder,Al-Ahli,Jeddah,Saudi Arabia,Al Ahli,N
Sam Morsy,Egypt,Egypt,A,Midfielder,Wigan Athletic,Wigan,UK,Wigan Athletic,N
Mohamed Elneny,Egypt,Egypt,A,Midfielder,Arsenal,London,UK,Arsenal,N
Ramadan Sobhi,Egypt,Egypt,A,Midfielder,Stoke City,Stoke-on-Trent,UK,Stoke City,N
Mahmoud Hassan,Egypt,Egypt,A,Midfielder,Kasimpasa,Istanbul,Turkey,Kasimpasa,N
Mohamed Salah,Egypt,Egypt,A,Forward,Liverpool,Liverpool,UK,Liverpool,N
Marwan Mohsen,Egypt,Egypt,A,Forward,Al-Ahly,Cairo,Egypt,Al Ahly,Y
Shikabala,Egypt,Egypt,A,Forward,Zamalek,Giza,Egypt,Zamalek,Y
Amr Warda,Egypt,Egypt,A,Forward,Atromitos,Athens,Greece,Atromitos,N
Mahmoud Kahraba,Egypt,Egypt,A,Forward,Al-Ittihad,Jeddah,Saudi Arabia,Al Ittihad,N
Fernando Muslera,Uruguay,Uruguay,A,Goalkeeper,Galatasaray,Istanbul,Turkey,Galatasaray,N
Martin Silva,Uruguay,Uruguay,A,Goalkeeper,Vasco da Gama,Rio de Janeiro,Brazil,Vasco da Gama,N
Martin Campana,Uruguay,Uruguay,A,Goalkeeper,Independiente,Buenos Aires,Argentina,Independiente,N
Diego Godin,Uruguay,Uruguay,A,Defender,Atletico Madrid,Madrid,Spain,Atletico Madrid,N
Jose Maria Gimenez,Uruguay,Uruguay,A,Defender,Atletico Madrid,Madrid,Spain,Atletico Madrid,N
Sebastian Coates,Uruguay,Uruguay,A,Defender,Sporting Lisbon,Lisbon,Portugal,Sporting Lisbon,N
Maximiliano Pereira,Uruguay,Uruguay,A,Defender,Porto,Porto,Portugal,Porto,N
Gaston Silva,Uruguay,Uruguay,A,Defender,Independiente,Buenos Aires,Argentina,Independiente,N
Martin Caceres,Uruguay,Uruguay,A,Defender,Lazio,Rome,Italy,Lazio,N
Guillermo Varela,Uruguay,Uruguay,A,Defender,Penarol,Montevideo,Uruguay,Penarol,Y
Nahitan Nandez,Uruguay,Uruguay,A,Midfielder,Boca Juniors,Buenos Aires,Argentina,Boca Juniors,N
Lucas Torreira,Uruguay,Uruguay,A,Midfielder,Sampdoria,Genoa,Italy,Sampdoria,N
Matias Vecino,Uruguay,Uruguay,A,Midfielder,Inter Milan,Milan,Italy,Inter Milan,N
Rodrigo Bentancur,Uruguay,Uruguay,A,Midfielder,Juventus,Turin,Italy,Juventus,N
Carlos Sanchez,Uruguay,Uruguay,A,Midfielder,Monterrey,Monterrey,Mexico,Monterrey,N
Giorgian De Arrascaeta,Uruguay,Uruguay,A,Midfielder,Cruzeiro,Belo Horizonte,Brazil,Cruzeiro,N
Diego Laxalt,Uruguay,Uruguay,A,Midfielder,Genoa,Genoa,Italy,Genoa,N
Cristian Rodriguez,Uruguay,Uruguay,A,Midfielder,Penarol,Montevideo,Uruguay,Penarol,Y
Jonathan Urretaviscaya,Uruguay,Uruguay,A,Midfielder,Monterrey,Monterrey,Mexico,Monterrey,N
Cristhian Stuani,Uruguay,Uruguay,A,Forward,Girona,Girona,Spain,Girona,N
Maximiliano Gomez,Uruguay,Uruguay,A,Forward,Celta Vigo,Vigo,Spain,Celta Vigo,N
Edinson Cavani,Uruguay,Uruguay,A,Forward,Paris St Germain,Paris,France,Paris St-Germain,N
Luis Suarez,Uruguay,Uruguay,A,Forward,Barcelona,Barcelona,Spain,Barcelona,N
Anthony Lopes,Portugal,Portugal,B,Goalkeeper,Lyon,Lyon,France,Lyon,N
Beto,Portugal,Portugal,B,Goalkeeper,Goztepe,Izmir,Turkey,Goztepe,N
Rui Patricio,Portugal,Portugal,B,Goalkeeper,Sporting Lisbon,Lisbon,Portugal,Sporting Lisbon,Y
Bruno Alves,Portugal,Portugal,B,Defender,Rangers,Glasgow,UK,Rangers,N
Cedric Soares,Portugal,Portugal,B,Defender,Southampton,Southampton,UK,Southampton,N
Jose Fonte,Portugal,Portugal,B,Defender,Dalian Yifang,Dalian,China,Dalian Yifang,N
Mario Rui,Portugal,Portugal,B,Defender,Napoli,Naples,Italy,Napoli,N
Pepe,Portugal,Portugal,B,Defender,Besiktas,Istanbul,Turkey,Besiktas,N
Raphael Guerreiro,Portugal,Portugal,B,Defender,Borussia Dortmund,Dortmund,Germany,Borussia Dortmund,N
Ricardo Pereira,Portugal,Portugal,B,Defender,Porto,Porto,Portugal,Porto,Y
Ruben Dias,Portugal,Portugal,B,Defender,Benfica,Lisbon,Portugal,Benfica,Y
Adrien Silva,Portugal,Portugal,B,Midfielder,Leicester City,Leicester,UK,Leicester,N
Bruno Fernandes,Portugal,Portugal,B,Midfielder,Sporting Lisbon,Lisbon,Portugal,Sporting Lisbon,Y
Joao Mario,Portugal,Portugal,B,Midfielder,West Ham,London,UK,West Ham,N
Joao Moutinho,Portugal,Portugal,B,Midfielder,Monaco,Monaco,Monaco,Monaco,N
Manuel Fernandes,Portugal,Portugal,B,Midfielder,Lokomotiv Moscow,Moscow,Russia,Lokomotiv Moscow,N
William Carvalho,Portugal,Portugal,B,Midfielder,Sporting Lisbon,Lisbon,Portugal,Sporting,Y
Andre Silva,Portugal,Portugal,B,Forward,AC Milan,Milan,Italy,AC Milan,N
Bernardo Silva,Portugal,Portugal,B,Forward,Manchester City,Manchester,UK,Manchester City,N
Cristiano Ronaldo,Portugal,Portugal,B,Forward,Real Madrid,Madrid,Spain,Real Madrid,N
Gelson Martins,Portugal,Portugal,B,Forward,Sporting Lisbon,Lisbon,Portugal,Sporting Lisbon,Y
Goncalo Guedes,Portugal,Portugal,B,Forward,Valencia,Valencia,Spain,Valencia,N
Ricardo Quaresma,Portugal,Portugal,B,Forward,Besiktas,Istanbul,Turkey,Besiktas,N
Pepe Reina,Spain,Spain,B,Goalkeeper,Napoli,Naples,Italy,Napoli,N
David de Gea,Spain,Spain,B,Goalkeeper,Manchester United,Manchester,UK,Manchester United,N
Kepa Arrizabalaga,Spain,Spain,B,Goalkeeper,Athletic Bilbao,Bilbao,Spain,Athletic Bilbao,Y
Nacho Fernandez,Spain,Spain,B,Defender,Real Madrid,Madrid,Spain,Real Madrid,Y
Sergio Ramos,Spain,Spain,B,Defender,Real Madrid,Madrid,Spain,Real Madrid,Y
Dani Carvajal,Spain,Spain,B,Defender,Real Madrid,Madrid,Spain,Real Madrid,Y
Gerard Pique,Spain,Spain,B,Defender,Barcelona,Barcelona,Spain,Barcelona,Y
Jordi Alba,Spain,Spain,B,Defender,Barcelona,Barcelona,Spain,Barcelona,Y
Alvaro Odriozola,Spain,Spain,B,Defender,Real Sociedad,San Sebastian,Spain,Real Sociedad,Y
Nacho Monreal,Spain,Spain,B,Defender,Arsenal,London,UK,Arsenal,N
Cesar Azpilicueta,Spain,Spain,B,Defender,Chelsea,London,UK,Chelsea,N
Andres Iniesta,Spain,Spain,B,Midfielder,Barcelona,Barcelona,Spain,Barcelona,Y
Sergio Busquets,Spain,Spain,B,Midfielder,Barcelona,Barcelona,Spain,Barcelona,Y
Saul Niguez,Spain,Spain,B,Midfielder,Atletico Madrid,Madrid,Spain,Atletico Madrid,Y
Koke,Spain,Spain,B,Midfielder,Atletico Madrid,Madrid,Spain,Atletico Madrid,Y
Isco,Spain,Spain,B,Midfielder,Real Madrid,Madrid,Spain,Real Madrid,Y
Marco Asensio,Spain,Spain,B,Midfielder,Real Madrid,Madrid,Spain,Real Madrid,Y
Thiago Alcantara,Spain,Spain,B,Midfielder,Bayern Munich,Munich,Germany,Bayern Munich,N
David Silva,Spain,Spain,B,Midfielder,Manchester City,Manchester,UK,Manchester City,N
Iago Aspas,Spain,Spain,B,Forward,Celta Vigo,Vigo,Spain,Celta Vigo,Y
Rodrigo,Spain,Spain,B,Forward,Valencia,Valencia,Spain,Valencia,Y
Diego Costa,Spain,Spain,B,Forward,Atletico Madrid,Madrid,Spain,Atletico Madrid,Y
Lucas Vazquez,Spain,Spain,B,Forward,Real Madrid,Madrid,Spain,Real Madrid,Y
Mounir El Kajoui,Morocco,Morocco,B,Goalkeeper,Numancia,Soria,Spain,Numancia,N
Yassine Bounou,Morocco,Morocco,B,Goalkeeper,Girona,Girona,Spain,Girona,N
Ahmad Reda Tagnaouti,Morocco,Morocco,B,Goalkeeper,Ittihad Tanger,Tangier,Morocco,Ittihad Tanger,Y
Mehdi Benatia,Morocco,Morocco,B,Defender,Juventus,Turin,Italy,Juventus,N
Romain Saiss,Morocco,Morocco,B,Defender,Wolves,Wolverhampton,UK,Wolves,N
Manuel Da Costa,Morocco,Morocco,B,Defender,Istanbul Basaksehir,Istanbul,Turkey,Istanbul Basaksehir,N
Nabil Dirar,Morocco,Morocco,B,Defender,Fenerbahce,Istanbul,Turkey,Fenerbahce,N
Achraf Hakimi,Morocco,Morocco,B,Defender,Real Madrid,Madrid,Spain,Real Madrid,N
Hamza Mendyl,Morocco,Morocco,B,Defender,Lille OSC,Lille,France,Lille,N
M'barek Boussoufa,Morocco,Morocco,B,Midfielder,Al-Jazira,Abu Dhabi,UAE,Al Jazira,N
Karim El Ahmadi,Morocco,Morocco,B,Midfielder,Feyenoord,Rotterdam,Netherlands,Feyenoord,N
Youssef Ait Bennasser,Morocco,Morocco,B,Midfielder,Caen,Caen,France,Caen,N
Sofyan Amrabat,Morocco,Morocco,B,Midfielder,Feyenoord,Rotterdam,Netherlands,Feyenoord,N
Younes Belhanda,Morocco,Morocco,B,Midfielder,Galatasaray,Istanbul,Turkey,Galatasaray,N
Faycal Fajr,Morocco,Morocco,B,Midfielder,Getafe,Madrid,Spain,Getafe,N
Amine Harit,Morocco,Morocco,B,Midfielder,Schalke 04,Gelsenkirchen,Germany,Schalke,N
Khalid Boutaib,Morocco,Morocco,B,Forward,Malatyaspor,Malatya,Turkey,Malatyaspor,N
Aziz Bouhaddouz,Morocco,Morocco,B,Forward,St Pauli,Hamburg,Germany,St Pauli,N
Ayoub El Kaabi,Morocco,Morocco,B,Forward,Renaissance Berkane,Berkane,Morocco,Renaissance Berkane,Y
Nordin Amrabat,Morocco,Morocco,B,Forward,Leganes,Madrid,Spain,Leganes,N
Mehdi Carcela,Morocco,Morocco,B,Forward,Standard Liege,Liege,Belgium,Standard Liege,N
Hakim Ziyech,Morocco,Morocco,B,Forward,Ajax,Amsterdam,Netherlands,Ajax,N
Youssef En Nesyri,Morocco,Morocco,B,Forward,Malaga,Malaga,Spain,Malaga,N
Alireza Beiranvand,Iran,Iran,B,Goalkeeper,Persepolis,Tehran,Iran,Persepolis,Y
Rashid Mazaheri,Iran,Iran,B,Goalkeeper,Zob Ahan,Isfahan,Iran,Zob Ahan,Y
Amir Abedzadeh,Iran,Iran,B,Goalkeeper,Maritimo,Funchal,Portugal,Maritimo,N
Majid Hosseini,Iran,Iran,B,Defender,Esteghlal,Tehran,Iran,Esteghlal,Y
Ramin Rezaeian,Iran,Iran,B,Defender,Ostende,Ostende,Belgium,Ostende,N
Mohammad Reza Khanzadeh,Iran,Iran,B,Defender,Padideh,Mashhad,Iran,Padideh,Y
Morteza Pouraliganji,Iran,Iran,B,Defender,Al-Sadd,Doha,Qatar,Alsaad,N
Pejman Montazeri,Iran,Iran,B,Defender,Esteghlal,Tehran,Iran,Esteghlal,Y
Milad Mohammadi,Iran,Iran,B,Defender,Akhmat Grozny,Grozny,Russia,Akhmat Grozny,N
Roozbeh Cheshmi,Iran,Iran,B,Defender,Esteghlal,Tehran,Iran,Esteghlal,Y
Saeid Ezatolahi,Iran,Iran,B,Midfielder,Amkar Perm,Perm,Russia,Amkar Perm,N
Masoud Shojaei,Iran,Iran,B,Midfielder,AEK Athens,Athens,Greece,AEK Athens,N
Mehdi Torabi,Iran,Iran,B,Midfielder,Saipa,Tehran,Iran,Saipa,Y
Omid Ebrahimi,Iran,Iran,B,Midfielder,Esteghlal,Tehran,Iran,Esteghlal,Y
Ehsan Haji Safi,Iran,Iran,B,Midfielder,Olympiacos,Piraeus,Greece,Olympiacos,N
Karim Ansarifard,Iran,Iran,B,Midfielder,Olympiacos,Piraeus,Greece,Olympiacos,N
Vahid Amiri,Iran,Iran,B,Midfielder,Persepolis,Tehran,Iran,Persepolis,Y
Alireza Jahanbakhsh,Iran,Iran,B,Forward,AZ Alkmaar,Alkmaar,Netherlands,AZ Alkmaar,N
Mehdi Taremi,Iran,Iran,B,Forward,Al-Gharafa,Doha,Qatar,Al Gharafa,N
Sardar Azmoun,Iran,Iran,B,Forward,Rubin Kazan,Kazan,Russia,Rubin Kazan,N
Reza Ghoochannejhad,Iran,Iran,B,Forward,Heerenveen,Heerenveen,Netherlands,Heerenveen,N
Saman Ghoddos,Iran,Iran,B,Forward,Ostersunds,Ostersund,Sweden,Ostersunds,N
Ashkan Dejagah,Iran,Iran,B,Forward,Nottingham Forest,Nottingham,UK,Nottingham Forest,N
Hugo Lloris,France,France,C,Goalkeeper,Tottenham Hotspur,London,UK,Tottenham,N
Steve Mandanda,France,France,C,Goalkeeper,Marseille,Marseille,France,Marseille,Y
Alphonse Areola,France,France,C,Goalkeeper,Paris St Germain,Paris,France,Paris St-Germain,Y
Lucas Hernandez,France,France,C,Defender,Atletico Madrid,Madrid,Spain,Atletico Madrid,N
Presnel Kimpembe,France,France,C,Defender,Paris St Germain,Paris,France,Paris St-Germain,Y
Benjamin Mendy,France,France,C,Defender,Manchester City,Manchester,UK,Manchester City,N
Benjamin Pavard,France,France,C,Defender,Stuttgart,Stuttgart,Germany,Stuttgart,N
Adil Rami,France,France,C,Defender,Marseille,Marseille,France,Marseille,Y
Djibril Sidibe,France,France,C,Defender,Monaco,Monaco,Monaco,Monaco,N
Samuel Umtiti,France,France,C,Defender,Barcelona,Barcelona,Spain,Barcelona,N
Raphael Varane,France,France,C,Defender,Real Madrid,Madrid,Spain,Real Madrid,N
N'Golo Kante,France,France,C,Midfielder,Chelsea,London,UK,Chelsea,N
Blaise Matuidi,France,France,C,Midfielder,Juventus,Turin,Italy,Juventus,N
Steven N'Zonzi,France,France,C,Midfielder,Sevilla,Seville,Spain,Sevilla,N
Paul Pogba,France,France,C,Midfielder,Manchester United,Manchester,UK,Manchester United,N
Corentin Tolisso,France,France,C,Midfielder,Bayern Munich,Munich,Germany,Bayern Munich,N
Ousmane Dembele,France,France,C,Forward,Barcelona,Barcelona,Spain,Barcelona,N
Nabil Fekir,France,France,C,Forward,Lyon,Lyon,France,Lyon,Y
Olivier Giroud,France,France,C,Forward,Chelsea,London,UK,Chelsea,N
Antoine Griezmann,France,France,C,Forward,Atletico Madrid,Madrid,Spain,Atletico Madrid,N
Thomas Lemar,France,France,C,Forward,Monaco,Monaco,Monaco,Monaco,N
Kylian Mbappe,France,France,C,Forward,Paris St Germain,Paris,France,Paris St-Germain,Y
Florian Thauvin,France,France,C,Forward,Marseille,Marseille,France,Marseille,Y
Brad Jones,Australia,Australia,C,Goalkeeper,Feyenoord,Rotterdam,Netherlands,Feyenoord,N
Mat Ryan,Australia,Australia,C,Goalkeeper,Brighton,Brighton,UK,Brighton,N
Danny Vukovic,Australia,Australia,C,Goalkeeper,Genk,Genk,Belgium,Genk,N
Aziz Behich,Australia,Australia,C,Defender,Bursaspor,Bursa,Turkey,Bursaspor,N
Milos Degenek,Australia,Australia,C,Defender,Yokohama F Marinos,Yokohama,Japan,Yokohama F. Marinos,N
Matthew Jurman,Australia,Australia,C,Defender,Suwon Samsung BlueWings,Suwon,South Korea,Suwon Samsung Blue Wings,N
James Meredith,Australia,Australia,C,Defender,Millwall,London,UK,Millwall,N
Josh Risdon,Australia,Australia,C,Defender,Western Sydney,Sydney,Australia,Western Sydney,Y
Trent Sainsbury,Australia,Australia,C,Defender,Grasshopper Zurich,Zurich,Switzerland,Grasshopper Zurich,N
Jackson Irvine,Australia,Australia,C,Midfielder,Hull City,Hull,UK,Hull City,N
Mile Jedinak,Australia,Australia,C,Midfielder,Aston Villa,Birmingham,UK,Aston Villa,N
Robbie Kruse,Australia,Australia,C,Midfielder,VfL Bochum,Bochum,Germany,VfL Bochum,N
Massimo Luongo,Australia,Australia,C,Midfielder,QPR,London,UK,QPR,N
Mark Milligan,Australia,Australia,C,Midfielder,Al-Ahli,Jeddah,Saudi Arabia,Al-Ahli,N
Aaron Mooy,Australia,Australia,C,Midfielder,Huddersfield,Huddersfield,UK,Huddersfield,N
Tom Rogic,Australia,Australia,C,Midfielder,Celtic,Glasgow,UK,Celtic,N
Tim Cahill,Australia,Australia,C,Midfielder,Millwall,London,UK,Millwall,N
Daniel Arzani,Australia,Australia,C,Forward,Melbourne City,Melbourne,Australia,Melbourne City,Y
Tomi Juric,Australia,Australia,C,Forward,FC Luzern,Luzern,Switzerland,Luzern,N
Mathew Leckie,Australia,Australia,C,Forward,Hertha Berlin,Berlin,Germany,Hertha Berlin,N
Andrew Nabbout,Australia,Australia,C,Forward,Urawa Red Diamonds,Saitama,Japan,Urawa Red Diamonds,N
Dimitri Petratos,Australia,Australia,C,Forward,Newcastle Jets,Newcastle,Australia,Newcastle Jets,Y
Jamie Maclaren,Australia,Australia,C,Forward,Hibernian,Edinburgh,UK,Hibernian,N
Pedro Gallese,Peru,Peru,C,Goalkeeper,Veracruz,Veracruz,Mexico,Veracruz,N
Carlos Caceda,Peru,Peru,C,Goalkeeper,Deportivo Municipal,Lima,Peru,Deportivo Municipal,Y
Jose Carvallo,Peru,Peru,C,Goalkeeper,UTC,Cajamarca,Peru,UTC,Y
Aldo Corzo,Peru,Peru,C,Defender,Universitario,Lima,Peru,Universitario,Y
Luis Advincula,Peru,Peru,C,Defender,Lobos BUAP,Puebla,Mexico,Lobos Buap,N
Christian Ramos,Peru,Peru,C,Defender,Veracruz,Veracruz,Mexico,Veracruz,N
Miguel Araujo,Peru,Peru,C,Defender,Alianza Lima,Lima,Peru,Alianza Lima,Y
Alberto Rodriguez,Peru,Peru,C,Defender,Atletico Junior,Barranquilla,Colombia,Atletico Junior,N
Anderson Santamaria,Peru,Peru,C,Defender,Puebla,Puebla,Mexico,Puebla,N
Miguel Trauco,Peru,Peru,C,Defender,Flamengo,Rio de Janeiro,Brazil,Flamengo,N
Nilson Loyola,Peru,Peru,C,Defender,Melgar,Arequipa,Peru,Melgar,Y
Renato Tapia,Peru,Peru,C,Midfielder,Feyenoord,Rotterdam,Netherlands,Feyenoord,N
Pedro Aquino,Peru,Peru,C,Midfielder,Leon,Leon,Mexico,Leon,N
Yoshimar Yotun,Peru,Peru,C,Midfielder,Orlando City,Orlando,USA,Orlando City,N
Paolo Hurtado,Peru,Peru,C,Midfielder,Vitoria de Guimaraes,Guimaraes,Portugal,Vitoria Guimaraes,N
Christian Cueva,Peru,Peru,C,Midfielder,Sao Paulo,Sao Paulo,Brazil,Sao Paulo,N
Edison Flores,Peru,Peru,C,Midfielder,Aalborg,Aalborg,Denmark,Aalborg,N
Andy Polo,Peru,Peru,C,Midfielder,Portland Timbers,Portland,USA,Portland Timbers,N
Wilder Cartagena,Peru,Peru,C,Midfielder,Veracruz,Veracruz,Mexico,Veracruz,N
Andre Carrillo,Peru,Peru,C,Forward,Benfica,Lisbon,Portugal,Benfica,N
Raul Ruidiaz,Peru,Peru,C,Forward,Morelia,Morelia,Mexico,Morelia,N
Jefferson Farfan,Peru,Peru,C,Forward,Lokomotiv Moscow,Moscow,Russia,Lokomotiv Moscow,N
Paolo Guerrero,Peru,Peru,C,Forward,Flamengo,Rio de Janeiro,Brazil,Flamengo,N
Kasper Schmeichel,Denmark,Denmark,C,Goalkeeper,Leicester City,Leicester,UK,Leicester,N
Frederik Ronnow,Denmark,Denmark,C,Goalkeeper,Brondby,Copenhagen,Denmark,Brondby,Y
Jonas Lossl,Denmark,Denmark,C,Goalkeeper,Huddersfield,Huddersfield,UK,Huddersfield,N
Simon Kjaer,Denmark,Denmark,C,Defender,Sevilla,Seville,Spain,Sevilla,N
Mathias Jorgensen,Denmark,Denmark,C,Defender,Huddersfield,Huddersfield,UK,Huddersfield,N
Andreas Christensen,Denmark,Denmark,C,Defender,Chelsea,London,UK,Chelsea,N
Henrik Dalsgaard,Denmark,Denmark,C,Defender,Brentford,London,UK,Brentford,N
Jannik Vestergaard,Denmark,Denmark,C,Defender,Borussia Monchengladbach,Monchengladbach,Germany,Borussia Monchengladbach,N
Jens Stryger Larsen,Denmark,Denmark,C,Defender,Udinese,Udine,Italy,Udinese,N
